nationality_name,cnt,tot_val,tot_val_B,nationality_abb,nationality_id,nation_flag_url
Spain,1086,5754575000,5.75,es,45,https://cdn.sofifa.net/flags/es.png
France,980,4604420000,4.6,fr,18,https://cdn.sofifa.net/flags/fr.png
Brazil,897,4577375000,4.58,br,54,https://cdn.sofifa.net/flags/br.png
England,1719,4336615000,4.34,gb-eng,14,https://cdn.sofifa.net/flags/gb-eng.png
Germany,1214,3411965000,3.41,de,21,https://cdn.sofifa.net/flags/de.png
Argentina,960,3128085000,3.13,ar,52,https://cdn.sofifa.net/flags/ar.png
Portugal,373,2270335000,2.27,pt,38,https://cdn.sofifa.net/flags/pt.png
Italy,338,2136485000,2.14,it,27,https://cdn.sofifa.net/flags/it.png
Netherlands,439,1903325000,1.9,nl,34,https://cdn.sofifa.net/flags/nl.png
Belgium,321,1366585000,1.37,be,7,https://cdn.sofifa.net/flags/be.png
